sale_id,listing_id,customer_id,agent_id,sale_date,sold_price,commission_rate,commission_value,payment_status
S000062,LST-00062,C004988,A2251,4/6/2024,6623179,0.028,185449,Paid
S000063,LST-00063,C001901,A0097,2/24/2024,11927964,0.028,333983,Paid
S000064,LST-00064,C018673,A3150,8/5/2024,3924197,0.028,109878,Paid
S000065,LST-00065,C039328,A3215,9/11/2024,23461883,0.022,516161,Paid
S000066,LST-00066,C022963,A0062,10/16/2024,1817151,0.028,50880,Paid
S000073,LST-00073,C038920,A1052,9/1/2024,4878227,0.028,136590,Paid
S000074,LST-00074,C033667,A1213,9/25/2024,13865136,0.027,374359,Paid
S000076,LST-00076,C041109,A1382,10/25/2024,10875852,0.027,293648,Paid
S000077,LST-00077,C007563,A0569,10/11/2024,15033675,0.022,330741,Paid
S000078,LST-00078,C013171,A2350,4/15/2024,7286104,0.028,204011,Paid
S000083,LST-00083,C030959,A1776,4/2/2024,4414454,0.028,123605,Paid
S000085,LST-00085,C014173,A2312,3/5/2024,24490144,0.022,538783,Paid
S000086,LST-00086,C029290,A2863,10/5/2024,1388927,0.028,38890,Paid
S000088,LST-00088,C000664,A0392,8/28/2024,6018705,0.028,168524,Paid
S000089,LST-00089,C010748,A2142,4/13/2024,25429571,0.023,584880,Paid
S000091,LST-00091,C018391,A1245,9/30/2024,5982284,0.028,167504,Paid
S000093,LST-00093,C009913,A1090,8/27/2024,2093451,0.028,58617,Paid
S000094,LST-00094,C043508,A0641,9/7/2024,4297955,0.028,120343,Paid
S000096,LST-00096,C030286,A0009,2/23/2024,4434670,0.028,124171,Paid
S000098,LST-00098,C023070,A0956,2/21/2024,2912515,0.022,64075,Paid
S000101,LST-00101,C015068,A1890,10/19/2024,45422868,0.025,1135572,Paid
S000105,LST-00105,C007492,A2902,10/7/2024,7001513,0.028,196042,Paid
S000107,LST-00107,C001311,A2666,10/6/2024,3105179,0.028,86945,Paid
S000108,LST-00108,C043998,A1549,9/12/2024,5704526,0.028,159727,Paid
S000111,LST-00111,C046350,A0803,10/9/2024,3708783,0.028,103846,Paid
S000112,LST-00112,C045584,A0965,7/27/2024,7240811,0.028,202743,Paid
S000113,LST-00113,C028628,A0717,10/30/2024,9720331,0.023,223568,Paid
S000114,LST-00114,C014780,A0804,9/12/2024,4769770,0.028,133554,Paid
S000115,LST-00115,C014768,A1215,3/7/2024,4368649,0.035,152903,Paid
S000119,LST-00119,C013885,A2501,8/13/2024,6278281,0.028,175792,Paid
S000120,LST-00120,C034845,A1224,8/31/2024,16922559,0.027,456909,Paid
S000124,LST-00124,C022878,A0534,1/9/2025,4511167,0.028,126313,Paid
S000125,LST-00125,C028187,A3134,4/1/2024,6300508,0.028,176414,Paid
S000126,LST-00126,C013063,A1969,8/20/2024,22723627,0.028,636262,Paid
S000129,LST-00129,C024754,A0087,4/5/2024,14156665,0.022,311447,Paid
S000130,LST-00130,C006825,A0416,10/13/2024,14774278,0.022,325034,Paid
S000132,LST-00132,C018649,A2038,3/16/2024,5819580,0.028,162948,Paid
S000136,LST-00136,C006777,A1311,10/8/2024,37531661,0.022,825697,Paid
S000139,LST-00139,C010538,A0233,4/22/2024,10524118,0.028,294675,Paid
S000141,LST-00141,C041788,A1439,9/4/2024,19592752,0.022,431041,Paid
S000142,LST-00142,C010124,A2460,3/5/2024,3901935,0.028,109254,Paid
S000143,LST-00143,C010072,A2811,8/29/2024,26504642,0.022,583102,Paid
S000144,LST-00144,C004590,A2010,10/17/2024,15323362,0.027,413731,Paid
S000146,LST-00146,C004828,A0915,8/22/2024,10501609,0.028,294045,Paid
S000147,LST-00147,C030104,A0680,8/29/2024,4685397,0.028,131191,Paid
S000148,LST-00148,C043824,A2871,3/19/2024,6085867,0.035,213005,Paid
S000149,LST-00149,C002628,A3070,8/9/2024,8600626,0.028,240818,Paid
S000151,LST-00151,C046679,A1455,10/12/2024,3568929,0.028,99930,Paid
S000152,LST-00152,C014372,A1889,8/19/2024,12691493,0.028,355362,Paid
S000153,LST-00153,C011557,A3464,9/12/2024,21688513,0.022,477147,Paid
S000154,LST-00154,C033935,A1712,2/8/2024,26819164,0.025,670479,Paid
S000155,LST-00155,C024462,A0071,9/21/2024,17250287,0.027,465758,Paid
S000156,LST-00156,C008800,A0893,2/27/2024,13039322,0.023,299904,Paid
S000158,LST-00158,C030642,A1479,8/22/2024,19562611,0.027,528190,Paid
S000159,LST-00159,C022291,A2380,9/6/2024,21346325,0.027,576351,Paid
S000161,LST-00161,C046992,A1670,10/24/2024,11779909,0.028,329837,Paid
S000162,LST-00162,C017140,A3257,10/15/2024,10950114,0.028,306603,Paid
S000164,LST-00164,C009154,A0299,10/25/2024,3826270,0.028,107136,Paid
S000167,LST-00167,C030210,A1792,8/9/2024,10980882,0.028,307465,Paid
S000168,LST-00168,C048959,A0794,10/7/2024,30833067,0.027,832493,Paid
S000175,LST-00175,C004489,A3134,4/20/2024,20780184,0.028,581845,Paid
S000176,LST-00176,C026371,A2354,9/2/2024,35748284,0.022,786462,Paid
S000178,LST-00178,C000095,A3606,4/11/2024,82232609,0,0,Paid
S000179,LST-00179,C029371,A1131,3/30/2024,55766296,0.022,1226859,Paid
S000180,LST-00180,C034802,A2060,10/13/2024,15764492,0.022,346819,Paid
S000181,LST-00181,C009498,A3449,9/19/2024,6438571,0.022,141649,Paid
S000186,LST-00186,C027092,A1637,8/5/2024,3045386,0.028,85271,Paid
S000188,LST-00188,C047953,A2648,9/9/2024,9168678,0.028,256723,Paid
S000190,LST-00190,C001107,A0423,10/5/2024,125797250,0.022,2767540,Paid
S000191,LST-00191,C030006,A0431,9/3/2024,19840480,0.025,496012,Paid
S000192,LST-00192,C023823,A3119,9/12/2024,6284304,0.028,175961,Paid
S000193,LST-00193,C015707,A2703,4/23/2024,18278995,0.028,511812,Paid
S000194,LST-00194,C013705,A1974,3/2/2024,9493548,0.028,265819,Paid
S000195,LST-00195,C042577,A0981,10/2/2024,16006484,0.028,448182,Paid
S000197,LST-00197,C008654,A0051,10/8/2024,8516893,0.028,238473,Paid
S000198,LST-00198,C007661,A3607,9/3/2024,4433266,0.028,124131,Paid
S000200,LST-00200,C011590,A0367,8/8/2024,7434399,0.028,208163,Paid
S000201,LST-00201,C009376,A3135,10/11/2024,12895113,0.028,361063,Paid
S000202,LST-00202,C030011,A0161,10/11/2024,23010442,0.023,529240,Paid
S000205,LST-00205,C033513,A2597,2/10/2024,30628923,0.022,673836,Paid
S000206,LST-00206,C017169,A3407,4/16/2024,17579602,0.028,492229,Paid
S000212,LST-00212,C007936,A1227,8/29/2024,18962204,0.028,530942,Paid
S000214,LST-00214,C021225,A0984,9/13/2024,16954154,0.022,372991,Paid
S000215,LST-00215,C010476,A0200,10/15/2024,19557338,0.022,430261,Paid
S000218,LST-00218,C049049,A0116,10/31/2024,5896752,0.028,165109,Paid
S000220,LST-00220,C033690,A2477,10/27/2024,9612371,0.022,211472,Paid
S000223,LST-00223,C018630,A3044,10/10/2024,16273979,0.028,455671,Paid
S000224,LST-00224,C009820,A1896,10/20/2024,6726149,0.028,188332,Paid
S000225,LST-00225,C022775,A0171,2/13/2024,15116019,0.027,408133,Paid
S000228,LST-00228,C045404,A3157,8/18/2024,9136567,0.028,255824,Paid
S000230,LST-00230,C048485,A0747,8/18/2024,8202214,0.028,229662,Paid
S000231,LST-00231,C019843,A3456,9/25/2024,7201236,0.028,201635,Paid
S000232,LST-00232,C039828,A1321,8/19/2024,10183366,0.028,285134,Paid
S000233,LST-00233,C001844,A0922,8/15/2024,58002549,0.022,1276056,Paid
S000235,LST-00235,C013960,A1300,10/23/2024,12062857,0.028,337760,Paid
S000238,LST-00238,C012722,A1537,10/8/2024,3924850,0.028,109896,Paid
S000239,LST-00239,C049250,A3152,9/17/2024,10508761,0.028,294245,Paid
S000240,LST-00240,C024212,A1835,10/23/2024,14179519,0.028,397027,Paid
S000242,LST-00242,C012249,A1579,3/25/2024,31487953,0.025,787199,Paid
S000244,LST-00244,C041850,A1774,10/3/2024,8035926,0.028,225006,Paid
S000246,LST-00246,C008418,A2544,9/7/2024,10706004,0.022,235532,Paid
S000248,LST-00248,C043784,A3598,10/28/2024,12094996,0.028,338660,Paid
S000250,LST-00250,C043070,A1187,10/26/2024,3217183,0.028,90081,Paid
S000251,LST-00251,C012447,A0910,10/19/2024,8801045,0.028,246429,Paid
S000252,LST-00252,C022943,A1304,9/26/2024,6418872,0.028,179728,Paid
S000253,LST-00253,C006779,A3019,10/15/2024,13925218,0.027,375981,Paid
S000255,LST-00255,C049525,A1967,9/18/2024,3168153,0.028,88708,Paid
S000256,LST-00256,C027516,A2337,9/7/2024,6734013,0.027,181818,Paid
S000257,LST-00257,C001878,A2591,4/2/2024,5117985,0.028,143304,Paid
S000258,LST-00258,C001705,A0268,9/17/2024,4464251,0.028,124999,Paid
S000259,LST-00259,C041673,A2581,3/16/2024,15550557,0.022,342112,Paid
S000262,LST-00262,C047812,A2101,8/30/2024,3206223,0.028,89774,Paid
S000263,LST-00263,C019902,A2559,10/20/2024,10344291,0.028,289640,Paid
S000267,LST-00267,C004826,A1483,10/23/2024,4803894,0.02,96078,Paid
S000269,LST-00269,C008925,A1419,9/28/2024,7114937,0.028,199218,Paid
S000270,LST-00270,C022207,A1296,9/4/2024,5920217,0.028,165766,Paid
S000273,LST-00273,C010583,A0977,8/21/2024,6976504,0.028,195342,Paid
S000275,LST-00275,C005786,A1584,8/23/2024,2183108,0.022,48028,Paid
S000276,LST-00276,C012199,A3079,4/16/2024,14734571,0.028,412568,Paid
S000277,LST-00277,C047787,A1271,10/6/2024,11525125,0.028,322704,Paid
S000278,LST-00278,C004251,A0516,8/7/2024,8217065,0.028,230078,Paid
S000279,LST-00279,C045796,A0247,10/20/2024,14296240,0.028,400295,Paid
S000282,LST-00282,C011612,A2019,8/9/2024,6942989,0.028,194404,Paid
S000283,LST-00283,C002242,A1599,9/6/2024,11944071,0.022,262770,Paid
S000284,LST-00284,C006606,A2898,3/2/2024,13533021,0.022,297726,Paid
S000286,LST-00286,C010993,A2321,9/26/2024,2659631,0.028,74470,Paid
S000292,LST-00292,C015827,A0066,11/7/2024,7979551,0.028,223427,Paid
S000293,LST-00293,C021760,A2107,10/22/2024,11180577,0.023,257153,Paid
S000302,LST-00302,C045820,A2993,10/25/2024,6800189,0.028,190405,Paid
S000304,LST-00304,C003771,A0039,9/10/2024,9417165,0.028,263681,Paid
S000306,LST-00306,C035506,A2183,9/10/2024,12860840,0.022,282938,Paid
S000309,LST-00309,C001280,A0478,10/20/2024,9614348,0.028,269202,Paid
S000311,LST-00311,C041387,A0923,10/30/2024,28855674,0.022,634825,Paid
S000313,LST-00313,C020100,A1874,3/14/2024,10357631,0.022,227868,Paid
S000314,LST-00314,C043534,A1530,10/13/2024,34811920,0.022,765862,Paid
S000315,LST-00315,C003189,A2944,3/23/2024,6422912,0.023,147727,Paid
S000316,LST-00316,C020064,A1183,9/16/2024,6665157,0.028,186624,Paid
S000317,LST-00317,C014176,A2355,10/14/2024,5772098,0.028,161619,Paid
S000318,LST-00318,C003615,A0189,2/11/2024,30387250,0.022,668520,Paid
S000319,LST-00319,C020164,A2485,4/5/2024,9760829,0.028,273303,Paid
S000325,LST-00325,C045736,A1449,9/24/2024,19853259,0.028,555891,Paid
S000326,LST-00326,C044319,A0167,10/18/2024,9276248,0.028,259735,Paid
S000329,LST-00329,C007102,A1151,8/3/2024,8921644,0.028,249806,Paid
S000333,LST-00333,C045507,A0657,9/15/2024,6950053,0.028,194601,Paid
S000338,LST-00338,C000447,A0794,3/23/2024,4697156,0.028,131520,Paid
S000339,LST-00339,C017988,A2720,9/23/2024,5299404,0.028,148383,Paid
S000341,LST-00341,C047304,A1554,10/4/2024,7030164,0.028,196845,Paid
S000342,LST-00342,C037589,A3452,10/14/2024,7097556,0.028,198732,Paid
S000344,LST-00344,C045288,A3189,8/26/2024,18716464,0.028,524061,Paid
S000345,LST-00345,C015354,A2638,8/20/2024,14082260,0.022,309810,Paid
S000346,LST-00346,C012782,A0099,9/16/2024,5581053,0.028,156269,Paid
S000348,LST-00348,C047795,A2185,8/14/2024,5730630,0.028,160458,Paid
S000349,LST-00349,C002463,A2234,8/4/2024,8080810,0.028,226263,Paid
S000350,LST-00350,C023014,A2778,8/25/2024,3739889,0.028,104717,Paid
S000351,LST-00351,C014581,A1325,10/7/2024,22655864,0.022,498429,Paid
S000352,LST-00352,C027893,A1242,4/18/2024,14661187,0.028,410513,Paid
S000353,LST-00353,C015110,A1390,3/9/2024,8444650,0.023,194227,Paid
S000355,LST-00355,C000265,A2581,4/11/2024,14673770,0.03,440213,Paid
S000358,LST-00358,C041916,A2177,9/6/2024,6706285,0.028,187776,Paid
S000360,LST-00360,C046305,A1011,10/2/2024,11667861,0.028,326700,Paid
S000363,LST-00363,C019848,A2323,10/9/2024,10629435,0.028,297624,Paid
S000364,LST-00364,C026325,A0453,8/19/2024,4848436,0.028,135756,Paid
S000365,LST-00365,C009294,A1421,8/24/2024,5589146,0.028,156496,Paid
S000368,LST-00368,C015993,A3268,10/11/2024,6110197,0.028,171086,Paid
S000370,LST-00370,C033684,A2522,4/23/2024,30376841,0.022,668291,Paid
S000371,LST-00371,C031088,A3532,4/12/2024,2703093,0.035,94608,Paid
S000372,LST-00372,C015773,A3565,9/12/2024,6359193,0.028,178057,Paid
S000378,LST-00378,C008708,A0164,9/30/2024,6065006,0.028,169820,Paid
S000384,LST-00384,C017884,A0904,9/22/2024,3866538,0.028,108263,Paid
S000387,LST-00387,C032737,A1680,10/11/2024,15343302,0.028,429612,Paid
S000388,LST-00388,C045898,A2475,8/6/2024,4949933,0.028,138598,Paid
S000390,LST-00390,C014242,A1607,8/25/2024,6965502,0.028,195034,Paid
S000392,LST-00392,C029628,A2052,10/10/2024,6894300,0.028,193040,Paid
S000393,LST-00393,C011865,A1293,8/23/2024,3761594,0.028,105325,Paid
S000394,LST-00394,C047634,A1484,8/10/2024,7245944,0.028,202886,Paid
S000395,LST-00395,C025770,A0255,5/1/2024,9911420,0.022,218051,Paid
S000399,LST-00399,C028211,A2758,4/20/2024,12767464,0.028,357489,Paid
S000402,LST-00402,C012296,A2327,4/23/2024,7935943,0.028,222206,Paid
S000403,LST-00403,C017409,A0735,4/11/2024,4374541,0.035,153109,Paid
S000406,LST-00406,C016327,A3156,8/13/2024,12240634,0.028,342738,Paid
S000408,LST-00408,C022977,A1451,3/2/2024,12433636,0.023,285974,Paid
S000409,LST-00409,C000118,A3488,3/31/2024,17362760,0.022,381981,Paid
S000410,LST-00410,C005301,A0396,3/2/2024,250708737,0.01,2507087,Paid
S000414,LST-00414,C014151,A0050,10/26/2024,17487330,0.022,384721,Paid
S000415,LST-00415,C000452,A1673,8/13/2024,10828467,0.028,303197,Paid
S000416,LST-00416,C035569,A1403,4/14/2024,76767073,0.022,1688876,Paid
S000417,LST-00417,C046614,A3327,7/27/2024,12055078,0.028,337542,Paid
S000419,LST-00419,C007668,A0688,8/15/2024,7276216,0.028,203734,Paid
S000420,LST-00420,C010534,A1650,2/22/2024,6759344,0.028,189262,Paid
S000422,LST-00422,C021749,A2073,3/18/2024,16854115,0.028,471915,Paid
S000424,LST-00424,C008038,A2318,10/19/2024,4984545,0.028,139567,Paid
S000425,LST-00425,C030201,A1399,4/9/2024,10915052,0.028,305621,Paid
S000426,LST-00426,C006468,A3163,9/7/2024,14116959,0.028,395275,Paid
S000428,LST-00428,C011184,A0219,4/8/2024,12883830,0.028,360747,Paid
S000429,LST-00429,C031312,A1941,8/25/2024,25572350,0.025,639309,Paid
S000431,LST-00431,C044562,A1735,8/19/2024,16009401,0.028,448263,Paid
S000432,LST-00432,C047527,A2638,7/30/2024,5090600,0.028,142537,Paid
S000436,LST-00436,C030808,A2811,10/4/2024,8253491,0.028,231098,Paid
S000441,LST-00441,C005944,A1553,4/10/2024,9418425,0.028,263716,Paid
S000444,LST-00444,C008406,A3120,3/25/2024,16413674,0.028,459583,Paid
S000445,LST-00445,C000233,A1537,10/2/2024,7106339,0.03,213190,Paid
S000446,LST-00446,C002625,A2772,11/5/2024,9763937,0.028,273390,Paid
S000448,LST-00448,C004255,A1989,8/28/2024,7652048,0.028,214257,Paid
S000449,LST-00449,C014721,A0610,10/8/2024,9195434,0.028,257472,Paid
S000451,LST-00451,C017579,A0933,10/14/2024,13920547,0.028,389775,Paid
S000452,LST-00452,C030117,A0057,10/24/2024,7253549,0.028,203099,Paid
S000454,LST-00454,C021258,A0496,3/15/2024,5910572,0.028,165496,Paid
S000455,LST-00455,C012797,A2905,8/11/2024,13572880,0.028,380041,Paid
S000457,LST-00457,C019519,A3537,8/31/2024,16851649,0.028,471846,Paid
S000459,LST-00459,C017203,A2797,10/17/2024,5128320,0.028,143593,Paid
S000462,LST-00462,C029510,A0219,9/21/2024,6533307,0.028,182933,Paid
S000464,LST-00464,C027425,A3013,10/5/2024,5178239,0.028,144991,Paid
S000465,LST-00465,C019589,A3547,4/11/2024,4200071,0.028,117602,Paid
S000466,LST-00466,C000190,A0303,3/24/2024,13777126,0.03,413314,Paid
S000469,LST-00469,C042369,A1009,10/4/2024,5622260,0.028,157423,Paid
S000470,LST-00470,C048278,A1878,3/25/2024,5353557,0.028,149900,Paid
S000471,LST-00471,C017329,A2017,10/23/2024,6947448,0.028,194529,Paid
S000472,LST-00472,C000629,A1974,8/24/2024,13755400,0.022,302619,Paid
S000473,LST-00473,C008855,A0927,9/10/2024,22474485,0.027,606811,Paid
S000474,LST-00474,C013225,A2576,10/1/2024,8122760,0.028,227437,Paid
S000476,LST-00476,C028708,A1817,8/22/2024,19052923,0.028,533482,Paid
S000477,LST-00477,C022618,A1430,8/6/2024,15716120,0.028,440051,Paid
S000478,LST-00478,C015725,A2110,10/28/2024,6485682,0.028,181599,Paid
S000479,LST-00479,C030678,A1183,9/3/2024,11101078,0.028,310830,Paid
S000480,LST-00480,C014649,A0410,3/2/2024,11701638,0.028,327646,Paid
S000483,LST-00483,C011489,A2285,2/12/2024,8898607,0.028,249161,Paid
S000484,LST-00484,C018235,A2572,10/17/2024,9450027,0.028,264601,Paid
S000485,LST-00485,C009998,A2407,8/17/2024,26659228,0.027,719799,Paid
S000486,LST-00486,C021802,A0286,2/21/2024,11429238,0.028,320019,Paid
S000487,LST-00487,C048634,A0901,7/30/2024,9722568,0.028,272232,Paid
S000489,LST-00489,C041125,A2429,9/26/2024,9429535,0.022,207450,Paid
S000492,LST-00492,C011206,A0958,3/17/2024,10907682,0.028,305415,Paid
S000494,LST-00494,C000265,A2581,4/11/2024,13185769,0.03,395573,Paid
S000496,LST-00496,C044845,A0170,8/13/2024,11632828,0.028,325719,Paid
S000498,LST-00498,C028781,A0214,8/18/2024,10642660,0.027,287352,Paid
S000500,LST-00500,C044694,A2419,9/2/2024,5337173,0.028,149441,Paid
S000501,LST-00501,C028401,A2223,9/9/2024,9785422,0.028,273992,Paid
S000503,LST-00503,C042194,A3462,10/4/2024,9122506,0.028,255430,Paid
S000506,LST-00506,C029339,A0822,4/12/2024,71798250,0.02,1435965,Paid
S000510,LST-00510,C007470,A1467,8/31/2024,21409888,0.028,599477,Paid
S000511,LST-00511,C026507,A1899,7/31/2024,13921876,0.022,306281,Paid
S000513,LST-00513,C047644,A0253,10/16/2024,3693896,0.028,103429,Paid
S000515,LST-00515,C035213,A2920,9/14/2024,12508175,0.023,287688,Paid
S000516,LST-00516,C028756,A1345,8/14/2024,10473143,0.027,282775,Paid
S000517,LST-00517,C026073,A3273,2/18/2024,34388644,0.022,756550,Paid
S000521,LST-00521,C011494,A0086,10/11/2024,11303301,0.028,316492,Paid
S000522,LST-00522,C046118,A0818,3/27/2024,6168690,0.028,172723,Paid
S000524,LST-00524,C011907,A3176,10/11/2024,11606924,0.028,324994,Paid
S000526,LST-00526,C040391,A1659,4/29/2024,26608407,0.027,718427,Paid
S000528,LST-00528,C014193,A1413,8/2/2024,32296302,0.025,807408,Paid
S000530,LST-00530,C047969,A0612,10/19/2024,13257284,0.028,371204,Paid
S000531,LST-00531,C031837,A2613,10/28/2024,7190350,0.028,201330,Paid
S000532,LST-00532,C011600,A1454,8/12/2024,23758086,0.022,522678,Paid
S000533,LST-00533,C020758,A0342,10/17/2024,17293133,0.022,380449,Paid
S000534,LST-00534,C036325,A0554,4/24/2024,23783440,0.027,642153,Paid
S000537,LST-00537,C040012,A1625,8/19/2024,9227633,0.023,212236,Paid
S000538,LST-00538,C045264,A2851,8/21/2024,7867881,0.028,220301,Paid
S000539,LST-00539,C038077,A2528,4/12/2024,11223798,0.023,258147,Paid
S000540,LST-00540,C003526,A3286,10/4/2024,6059174,0.028,169657,Paid
S000542,LST-00542,C023172,A1076,10/14/2024,14018587,0.027,378502,Paid
S000543,LST-00543,C049621,A1934,8/20/2024,8506845,0.028,238192,Paid
S000545,LST-00545,C007369,A1906,3/8/2024,7006657,0.028,196186,Paid
S000548,LST-00548,C041112,A2125,10/5/2024,11815056,0.023,271746,Paid
S000549,LST-00549,C028959,A0183,2/7/2024,14004063,0.027,378110,Paid
S000551,LST-00551,C019743,A3194,8/14/2024,18534254,0.023,426288,Paid
S000552,LST-00552,C030332,A0687,3/13/2024,33726625,0.022,741986,Paid
S000556,LST-00556,C029940,A0235,10/13/2024,8654029,0.028,242313,Paid
S000558,LST-00558,C003420,A0078,2/21/2024,21475917,0.027,579850,Paid
S000563,LST-00563,C020636,A1775,3/10/2024,5134635,0.028,143770,Paid
S000565,LST-00565,C036923,A3004,8/17/2024,22813016,0.027,615951,Paid
S000566,LST-00566,C026005,A2733,7/29/2024,5902020,0.028,165257,Paid
S000569,LST-00569,C024986,A1958,10/13/2024,4990961,0.028,139747,Paid
S000570,LST-00570,C000233,A1537,10/2/2024,13232576,0.03,396977,Paid
S000572,LST-00572,C012884,A3285,10/21/2024,5915999,0.028,165648,Paid
S000575,LST-00575,C014611,A1494,10/31/2024,10123643,0.028,283462,Paid
S000576,LST-00576,C021233,A1671,8/20/2024,4318128,0.028,120908,Paid
S000578,LST-00578,C028225,A0703,10/11/2024,4029641,0.028,112830,Paid
S000579,LST-00579,C003964,A0100,4/6/2024,10766773,0.023,247636,Paid
S000580,LST-00580,C002102,A3136,3/15/2024,18916371,0.023,435077,Paid
S000582,LST-00582,C027976,A2665,5/1/2024,5392750,0.022,118641,Paid
S000583,LST-00583,C003651,A2468,4/5/2024,3008209,0.028,84230,Paid
S000586,LST-00586,C025603,A0859,3/23/2024,8707263,0.028,243803,Paid
S000588,LST-00588,C044093,A3079,4/19/2024,9751751,0.035,341311,Paid
S000589,LST-00589,C019291,A2950,10/25/2024,5065960,0.028,141847,Paid
S000593,LST-00593,C014959,A2706,9/21/2024,15990112,0.028,447723,Paid
S000595,LST-00595,C049098,A3598,10/2/2024,4668363,0.028,130714,Paid
S000599,LST-00599,C026511,A0771,3/4/2024,2993935,0.028,83830,Paid
S000600,LST-00600,C035578,A2914,2/15/2024,2238776,0.022,49253,Paid
S000602,LST-00602,C034835,A0462,10/18/2024,9613419,0.028,269176,Paid
S000603,LST-00603,C006136,A0020,5/3/2024,6195666,0.028,173479,Paid
S000604,LST-00604,C033473,A2136,2/26/2024,16135627,0.022,354984,Paid
S000605,LST-00605,C041415,A0695,9/22/2024,14491560,0.028,405764,Paid
S000606,LST-00606,C040856,A0230,8/15/2024,7576218,0.028,212134,Paid
S000608,LST-00608,C043429,A0927,9/28/2024,10411156,0.028,291512,Paid
S000610,LST-00610,C049558,A0833,10/19/2024,5097637,0.028,142734,Paid
S000611,LST-00611,C021232,A2193,4/25/2024,8831676,0.028,247287,Paid
S000613,LST-00613,C011759,A3296,10/25/2024,44705970,0.025,1117649,Paid
S000615,LST-00615,C028197,A0604,10/22/2024,45808841,0.022,1007795,Paid
S000617,LST-00617,C021032,A0442,9/8/2024,5067774,0.028,141898,Paid
S000618,LST-00618,C023971,A2204,5/1/2024,3190908,0.028,89345,Paid
S000621,LST-00621,C031408,A0961,8/18/2024,18713921,0.027,505276,Paid
S000622,LST-00622,C016337,A0852,3/20/2024,10450111,0.028,292603,Paid
S000627,LST-00627,C025602,A3132,3/8/2024,29411664,0.022,647057,Paid
S000628,LST-00628,C026841,A0143,10/30/2024,5057724,0.028,141616,Paid
S000629,LST-00629,C006016,A0382,8/12/2024,11407057,0.028,319398,Paid
S000630,LST-00630,C002282,A0759,9/6/2024,9552642,0.028,267474,Paid
S000631,LST-00631,C016130,A1506,9/7/2024,7950355,0.028,222610,Paid
S000634,LST-00634,C027393,A1572,9/10/2024,16147047,0.028,452117,Paid
S000635,LST-00635,C025075,A1179,10/23/2024,16061582,0.022,353355,Paid
S000637,LST-00637,C047485,A0549,9/30/2024,35591414,0.022,783011,Paid
S000638,LST-00638,C017991,A3006,10/13/2024,10860415,0.028,304092,Paid
S000639,LST-00639,C014291,A0875,8/9/2024,6390575,0.028,178936,Paid
S000640,LST-00640,C027164,A1901,8/29/2024,7084736,0.028,198373,Paid
S000642,LST-00642,C004974,A3100,9/26/2024,10088643,0.022,221950,Paid
S000644,LST-00644,C012016,A1170,8/26/2024,8232524,0.028,230511,Paid
